Date,Region/City-Eng,Region_ID,Day-Confirmed,Day-Deaths,Day-Recovered,Confirmed,Deaths,Recovered
1/26/2020,Diamond Princess,,3,0,0,3,0,0
1/31/2020,Tyumen region,72,1,0,0,1,0,0
1/31/2020,Zabaykalsky Krai,75,1,0,0,1,0,0
2/12/2020,Tyumen region,72,0,0,1,1,0,1
2/12/2020,Zabaykalsky Krai,75,0,0,1,1,0,1
2/3/2020,Moscow region,50,1,0,0,1,0,0
3/5/2020,St. Petersburg,78,1,0,0,1,0,0
3/6/2020,Moscow,77,5,0,0,5,0,0
3/6/2020,Nizhny Novgorod Region,52,1,0,0,1,0,0
3/6/2020,Diamond Princess,,0,0,3,3,0,3
3/7/2020,Moscow,77,0,0,1,5,0,1
3/7/2020,St. Petersburg,78,1,0,0,2,0,0
3/7/2020,Lipetsk region,48,3,0,0,3,0,0
3/8/2020,Moscow region,50,1,0,0,2,0,0
3/8/2020,Belgorod region,31,1,0,0,1,0,0
3/8/2020,Kaliningrad region,39,1,0,0,1,0,0
3/9/2020,Moscow,77,3,0,0,8,0,1
3/11/2020,Moscow,77,6,0,0,14,0,1
3/11/2020,Moscow region,50,2,0,0,4,0,0
3/12/2020,Moscow,77,4,0,0,18,0,1
3/12/2020,Kaliningrad region,39,1,0,0,2,0,0
3/12/2020,Krasnodar region,23,1,0,0,1,0,0
3/13/2020,Moscow,77,5,0,0,23,0,1
3/13/2020,Moscow region,50,1,0,0,5,0,0
3/13/2020,St. Petersburg,78,3,0,0,5,0,0
3/13/2020,Leningrad region,47,1,0,0,1,0,0
3/13/2020,Perm,59,1,0,0,1,0,0
3/14/2020,Moscow,77,9,0,0,32,0,1
3/14/2020,Moscow region,50,1,0,0,6,0,0
3/14/2020,St. Petersburg,78,1,0,0,6,0,0
3/14/2020,Kemerovo region,42,2,0,0,2,0,0
3/14/2020,Kaliningrad region,39,1,0,0,3,0,0
3/15/2020,Moscow region,50,3,0,0,9,0,0
3/15/2020,Tyumen region,72,1,0,0,2,0,1
3/16/2020,Moscow,77,20,0,0,52,0,1
3/16/2020,St. Petersburg,78,3,0,2,9,0,2
3/16/2020,Moscow region,50,1,0,0,10,0,0
3/16/2020,Samara Region,63,3,0,0,3,0,0
3/16/2020,Kirov region,43,1,0,0,1,0,0
3/16/2020,Perm,59,1,0,0,2,0,0
3/16/2020,Komi Republic,11,1,0,0,1,0,0
3/17/2020,Moscow,77,3,0,0,55,0,1
3/17/2020,Samara Region,63,2,0,0,5,0,0
3/17/2020,Kaliningrad region,39,2,0,0,5,0,0
3/17/2020,Tver region,69,2,0,0,2,0,0
3/17/2020,Moscow region,50,2,0,0,12,0,0
3/17/2020,Krasnoyarsk region,24,1,0,0,1,0,0
3/17/2020,Tambov Region,68,1,0,0,1,0,0
3/17/2020,Kaluga region,40,1,0,0,1,0,0
3/17/2020,Nizhny Novgorod Region,52,1,0,1,2,0,1
3/17/2020,Penza region,58,1,0,0,1,0,0
3/17/2020,Republic of Tatarstan,16,1,0,0,1,0,0
3/17/2020,The Republic of Khakassia,19,1,0,0,1,0,0
3/17/2020,Sverdlovsk region,66,1,0,0,1,0,0
3/17/2020,Arkhangelsk region,29,1,0,0,1,0,0
3/17/2020,Yaroslavl region,76,1,0,0,1,0,0
3/18/2020,Moscow,77,31,0,0,86,0,1
3/18/2020,Tomsk region,70,1,0,0,1,0,0
3/18/2020,Novosibirsk region,54,1,0,0,1,0,0
3/19/2020,Moscow,77,12,0,4,98,0,5
3/19/2020,Moscow region,50,5,0,1,17,0,1
3/19/2020,Sverdlovsk region,66,5,0,0,6,0,0
3/19/2020,Tula region,71,3,0,0,3,0,0
3/19/2020,Krasnoyarsk region,24,3,0,0,4,0,0
3/19/2020,Khabarovsk region,27,3,0,0,3,0,0
3/19/2020,Tambov Region,68,2,0,0,3,0,0
3/19/2020,Voronezh region,36,2,0,0,2,0,0
3/19/2020,Krasnodar region,23,2,0,0,3,0,0
3/19/2020,Kirov region,43,2,0,0,3,0,0
3/19/2020,Ivanovo region,37,1,0,0,1,0,0
3/19/2020,Ryazan Oblast,62,1,0,0,1,0,0
3/19/2020,Murmansk region,51,1,0,0,1,0,0
3/19/2020,Nizhny Novgorod Region,52,1,0,0,3,0,1
3/19/2020,Perm,59,1,0,0,3,0,0
3/19/2020,Novosibirsk region,54,1,0,0,2,0,0
3/19/2020,The Republic of Sakha (Yakutia),14,1,0,0,1,0,0
3/19/2020,Orenburg region,56,1,0,0,1,0,0
3/19/2020,Khanty-Mansiysk,86,1,0,0,1,0,0
3/19/2020,St. Petersburg,78,1,0,0,10,0,2
3/19/2020,Chuvash Republic,21,1,0,0,1,0,0
3/19/2020,Saratov region,64,1,0,0,1,0,0
3/19/2020,Tver region,69,1,0,0,3,0,0
3/19/2020,Lipetsk region,48,0,0,3,3,0,3
3/20/2020,Moscow,77,33,0,0,131,0,5
3/20/2020,The Republic of Sakha (Yakutia),14,6,0,0,7,0,0
3/20/2020,St. Petersburg,78,4,0,0,14,0,2
3/20/2020,Samara Region,63,4,0,0,9,0,0
3/20/2020,Kirov region,43,2,0,0,5,0,0
3/20/2020,Novosibirsk region,54,2,0,0,4,0,0
3/20/2020,Moscow region,50,1,0,0,18,0,1
3/20/2020,Ulyanovsk region,73,1,0,0,1,0,0
3/20/2020,Tyumen region,72,1,0,0,3,0,1
3/20/2020,Kaliningrad region,39,0,0,1,5,0,1
3/21/2020,Moscow region,50,17,0,0,35,0,1
3/21/2020,Moscow,77,6,0,3,137,0,8
3/21/2020,Republic of Tatarstan,16,5,0,0,6,0,0
3/21/2020,Nizhny Novgorod Region,52,4,0,0,7,0,1
3/21/2020,Sverdlovsk region,66,3,0,0,9,0,0
3/21/2020,Tula region,71,2,0,0,5,0,0
3/21/2020,Kaliningrad region,39,2,0,0,7,0,1
3/21/2020,St. Petersburg,78,2,0,0,16,0,2
3/21/2020,Kabardino-Balkar Republic,7,2,0,0,2,0,0
3/21/2020,Krasnodar region,23,2,0,0,5,0,0
3/21/2020,Ryazan Oblast,62,1,0,0,2,0,0
3/21/2020,Stavropol region,26,1,0,0,1,0,0
3/21/2020,Kurgan region,45,1,0,0,1,0,0
3/21/2020,Chelyabinsk region,74,1,0,0,1,0,0
3/21/2020,Khanty-Mansiysk,86,1,0,0,2,0,0
3/21/2020,Krasnoyarsk region,24,1,0,0,5,0,0
3/21/2020,Khabarovsk region,27,1,0,0,4,0,0
3/21/2020,Republic of Crimea,82,1,0,0,1,0,0
3/22/2020,Moscow,77,54,0,0,191,0,8
3/22/2020,Novgorod region,53,1,0,0,1,0,0
3/22/2020,Kirov region,43,2,0,0,7,0,0
3/22/2020,Arkhangelsk region,29,1,0,0,2,0,0
3/22/2020,Bryansk region,32,1,0,0,1,0,0
3/22/2020,Udmurt republic,18,2,0,0,2,0,0
3/23/2020,Moscow,77,71,0,1,262,0,9
3/23/2020,Moscow region,50,0,0,1,35,0,2
3/24/2020,Moscow,77,28,0,0,290,0,9
3/24/2020,St. Petersburg,78,5,0,0,21,0,2
3/24/2020,Voronezh region,36,4,0,0,6,0,0
3/24/2020,Sverdlovsk region,66,4,0,0,13,0,0
3/24/2020,Republic of Bashkortostan,2,3,0,0,3,0,0
3/24/2020,Lipetsk region,48,2,0,0,5,0,3
3/24/2020,Oryol Region,57,2,0,0,2,0,0
3/24/2020,Leningrad region,47,2,0,0,3,0,0
